Timestamp(ms),Current(uA)
0,15.398
100,15.469
200,15.423
300,15.395
400,15.352
500,15.305
600,15.174
700,15.223
800,15.303
900,15.330
1000,15.346
1100,15.341
1200,15.360
1300,15.296
1400,15.249
1500,15.277
1600,15.322
1700,15.287
1800,15.352
1900,15.239
2000,15.246
2100,15.231
2200,15.220
2300,15.284
2400,15.304
2500,15.327
2600,15.316
2700,15.264
2800,15.241
2900,15.334
3000,15.360
3100,15.307
3200,15.347
3300,15.385
3400,15.366
3500,15.483
3600,15.448
3700,15.435
3800,15.412
3900,15.443
4000,15.422
4100,15.406
4200,15.381
4300,15.331
4400,15.428
4500,15.365
4600,15.485
4700,15.488
4800,15.538
4900,15.468
5000,15.403
5100,15.556
5200,15.560
5300,15.598
5400,15.565
5500,15.577
5600,15.542
5700,15.561
5800,15.538
5900,15.530
6000,15.502
6100,15.470
6200,15.442
6300,15.552
6400,15.510
6500,15.475
6600,15.519
6700,15.482
6800,15.511
6900,15.482
7000,15.544
7100,15.454
7200,15.370
7300,15.357
7400,15.334
7500,15.292
7600,15.389
7700,15.392
7800,15.506
7900,15.402
8000,15.409
8100,15.400
8200,15.521
8300,15.467
8400,15.546
8500,15.463
8600,15.542
8700,15.520
8800,15.495
8900,15.547
9000,15.503
9100,15.472
9200,15.612
9300,15.581
9400,15.537
9500,15.537
9600,15.591
9700,15.553
9800,15.550
9900,15.530
10000,15.536
10100,15.500
10200,15.464
10300,15.468
10400,15.494
10500,15.498
10600,15.599
10700,15.473
10800,15.488
10900,15.492
11000,15.398
11100,15.395
11200,15.427
11300,15.382
11400,15.409
11500,15.503
11600,15.554
11700,15.522
11800,15.544
11900,15.493
12000,15.429
12100,15.468
12200,15.426
12300,15.460
12400,15.435
12500,15.383
12600,15.442
12700,15.404
12800,15.458
12900,15.410
13000,15.398
13100,15.340
13200,15.300
13300,15.406
13400,15.353
13500,15.167
13600,15.162
13700,15.341
13800,15.407
13900,15.400
14000,15.443
14100,15.454
14200,15.496
14300,15.551
14400,15.477
14500,15.566
14600,15.515
14700,15.478
14800,15.450
14900,15.456
15000,15.423
15100,15.432
15200,15.433
15300,15.419
15400,15.431
15500,15.363
15600,15.406
15700,15.500
15800,15.454
15900,15.355
16000,15.180
16100,15.116
16200,15.252
16300,15.433
16400,15.469
16500,15.552
16600,15.525
16700,15.596
16800,15.552
16900,15.520
17000,15.469
17100,15.494
17200,15.612
17300,15.609
17400,15.554
17500,15.625
17600,15.551
17700,15.530
17800,15.601
17900,15.637
18000,15.547
18100,15.505
18200,15.427
18300,15.413
18400,15.440
18500,15.361
18600,15.236
18700,15.220
18800,15.480
18900,15.545
19000,15.618
19100,15.589
19200,15.624
19300,15.673
19400,15.649
19500,15.589
19600,15.560
19700,15.620
19800,15.611
19900,15.589
20000,15.624
20100,15.617
20200,15.635
20300,15.548
20400,15.633
20500,15.644
20600,15.630
20700,15.623
20800,15.632
20900,15.632
21000,15.644
21100,15.594
21200,15.617
21300,15.679
21400,15.545
21500,15.504
21600,15.477
21700,15.432
21800,15.492
21900,15.553
22000,15.509
22100,15.502
22200,15.667
22300,15.623
22400,15.699
22500,15.862
22600,15.631
22700,15.599
22800,15.531
22900,15.603
23000,15.784
23100,15.719
23200,15.669
23300,15.675
23400,15.606
23500,15.550
23600,15.740
23700,15.793
23800,15.736
23900,15.747
24000,15.579
24100,15.639
24200,15.587
24300,15.616
24400,15.715
24500,15.733
24600,15.705
24700,15.754
24800,15.707
24900,15.568
25000,15.686
25100,15.592
25200,15.666
25300,15.599
25400,15.523
25500,15.555
25600,15.598
25700,15.457
25800,15.450
25900,15.402
26000,15.404
26100,15.504
26200,15.436
26300,15.392
26400,15.437
26500,15.452
26600,15.403
26700,15.391
26800,15.414
26900,15.431
27000,15.446
27100,15.412
27200,15.388
27300,15.322
27400,15.481
27500,15.565
27600,15.514
27700,15.402
27800,15.467
27900,15.496
28000,15.592
28100,15.504
28200,15.446
28300,15.420
28400,15.549
28500,15.599
28600,15.630
28700,15.467
28800,15.392
28900,15.320
29000,15.339
29100,15.228
29200,15.348
29300,15.471
29400,15.287
29500,15.235
29600,15.335
29700,15.512
29800,15.494
29900,15.518
30000,15.652
30100,15.512
30200,15.230
30300,15.145
30400,15.397
30500,15.711
30600,15.739
30700,15.702
30800,15.624
30900,15.719
31000,15.828
31100,15.586
31200,15.525
31300,15.570
31400,15.440
31500,15.700
31600,15.471
31700,15.611
31800,15.702
31900,15.740
32000,15.658
32100,15.558
32200,15.439
32300,15.520
32400,15.540
32500,15.617
32600,15.683
32700,15.584
32800,15.616
32900,15.565
33000,15.620
33100,15.614
33200,15.530
33300,15.641
33400,15.645
33500,15.639
33600,15.584
33700,15.593
33800,15.615
33900,15.606
34000,15.668
34100,15.683
34200,15.616
34300,15.653
34400,15.627
34500,15.609
34600,15.641
34700,15.604
34800,15.568
34900,15.574
35000,15.605
35100,15.580
35200,15.635
35300,15.631
35400,15.628
35500,15.665
35600,15.638
35700,15.575
35800,15.568
35900,15.585
36000,15.607
36100,15.603
36200,15.577
36300,15.600
36400,15.594
36500,15.614
36600,15.647
36700,15.550
36800,15.563
36900,15.567
37000,15.634
37100,15.597
37200,15.651
37300,15.574
37400,15.564
37500,15.476
37600,15.489
37700,15.427
37800,15.567
37900,15.455
38000,15.453
38100,15.465
38200,15.483
38300,15.507
38400,15.501
38500,15.441
38600,15.423
38700,15.425
38800,15.473
38900,15.516
39000,15.461
39100,15.536
39200,15.485
39300,15.563
39400,15.599
39500,15.568
39600,15.496
39700,15.537
39800,15.575
39900,15.480
40000,15.464
40100,15.405
40200,15.511
40300,15.542
40400,15.459
40500,15.492
40600,15.522
40700,15.441
40800,15.479
40900,15.529
41000,15.549
41100,15.576
41200,15.432
41300,15.490
41400,15.391
41500,15.475
41600,15.422
41700,15.452
41800,15.524
41900,15.577
42000,15.483
42100,15.490
42200,15.492
42300,15.477
42400,15.549
42500,15.508
42600,15.562
42700,15.547
42800,15.558
42900,15.554
43000,15.552
43100,15.551
43200,15.546
43300,15.568
43400,15.492
43500,15.499
43600,15.481
43700,15.474
43800,15.500
43900,15.437
44000,15.455
44100,15.416
44200,15.386
44300,15.422
44400,15.298
44500,15.404
44600,15.340
44700,15.441
44800,15.395
44900,15.409
45000,15.415
45100,15.402
45200,15.359
45300,15.456
45400,15.468
45500,15.433
45600,15.437
45700,15.419
45800,15.404
45900,15.423
46000,15.330
46100,15.397
46200,15.428
46300,15.411
46400,15.412
46500,15.386
46600,15.365
46700,15.477
46800,15.386
46900,15.490
47000,15.537
47100,15.571
47200,15.614
47300,15.671
47400,15.626
47500,15.643
47600,15.713
47700,15.722
47800,15.577
47900,15.651
48000,15.635
48100,15.647
48200,15.571
48300,15.544
48400,15.559
48500,15.533
48600,15.526
48700,15.595
48800,15.495
48900,15.586
49000,15.615
49100,15.643
49200,15.664
49300,15.686
49400,15.650
49500,15.652
49600,15.607
49700,15.642
49800,15.552
49900,15.495
50000,15.535
50100,15.631
50200,15.549
50300,15.487
50400,15.513
50500,15.569
50600,15.570
50700,15.576
50800,15.577
50900,15.500
51000,15.553
51100,15.538
51200,15.580
51300,15.577
51400,15.500
51500,15.408
51600,15.331
51700,15.306
51800,15.350
51900,15.377
52000,15.497
52100,15.599
52200,15.522
52300,15.339
52400,15.410
52500,15.583
52600,15.751
52700,15.928
52800,15.789
52900,15.602
53000,15.440
53100,15.325
53200,15.331
53300,15.390
53400,15.393
53500,15.346
53600,15.496
53700,15.523
53800,15.442
53900,15.331
54000,15.342
54100,15.353
54200,15.259
54300,15.363
54400,15.428
54500,15.392
54600,15.436
54700,15.401
54800,15.255
54900,15.362
55000,15.437
55100,15.425
55200,15.416
55300,15.420
55400,15.418
55500,15.337
55600,15.074
55700,14.937
55800,14.789
55900,14.599
56000,14.941
56100,15.646
56200,16.142
56300,16.162
56400,16.019
56500,15.945
56600,15.776
56700,15.688
56800,15.724
56900,15.715
57000,15.617
57100,15.597
57200,15.683
57300,15.649
57400,15.718
57500,15.654
57600,15.692
57700,15.691
57800,15.677
57900,15.663
58000,15.772
58100,15.623
58200,15.669
58300,15.592
58400,15.613
58500,15.601
58600,15.648
58700,15.601
58800,15.504
58900,15.372
59000,15.428
59100,15.476
59200,15.598
59300,15.637
59400,15.551
59500,15.613
59600,15.607
59700,15.694
59800,15.702
59900,15.637
60000,15.657
60100,15.627
60200,15.610
60300,15.732
60400,15.632
60500,15.641
60600,15.652
60700,15.593
60800,15.634
60900,15.642
61000,15.517
61100,15.582
61200,15.523
61300,15.559
61400,15.591
61500,15.565
61600,15.538
61700,15.515
61800,15.589
61900,15.618
62000,15.560
62100,15.575
62200,15.692
62300,15.547
62400,15.518
62500,15.486
62600,15.555
62700,15.436
62800,15.430
62900,15.497
63000,15.445
63100,15.411
63200,15.442
63300,15.481
63400,15.428
63500,15.356
63600,15.465
63700,15.473
63800,15.404
63900,15.428
64000,15.262
64100,15.119
64200,15.037
64300,15.151
64400,15.334
64500,15.415
64600,15.417
64700,15.444
64800,15.412
64900,15.461
65000,15.499
65100,15.494
65200,15.437
65300,15.471
65400,15.434
65500,15.275
65600,15.234
65700,15.255
65800,15.343
65900,15.354
66000,15.385
66100,15.427
66200,15.362
66300,15.472
66400,15.499
66500,15.501
66600,15.435
66700,15.450
66800,15.477
66900,15.584
67000,15.600
67100,15.536
67200,15.496
67300,15.511
67400,15.543
67500,15.481
67600,15.468
67700,15.435
67800,15.513
67900,15.493
68000,15.393
68100,15.449
68200,15.433
68300,15.459
68400,15.388
68500,15.365
68600,15.386
68700,15.464
68800,15.494
68900,15.443
69000,15.463
69100,15.447
69200,15.384
69300,15.426
69400,15.376
69500,15.388
69600,15.391
69700,15.376
69800,15.451
69900,15.466
70000,15.462
70100,15.459
70200,15.436
70300,15.414
70400,15.356
70500,15.409
70600,15.426
70700,15.356
70800,15.426
70900,15.407
71000,15.255
71100,15.426
71200,15.542
71300,15.596
71400,15.545
71500,15.459
71600,15.484
71700,15.412
71800,15.476
71900,15.424
72000,15.425
72100,15.425
72200,15.440
72300,15.477
72400,15.459
72500,15.398
72600,15.235
72700,15.272
72800,15.338
72900,15.452
73000,15.412
73100,15.530
73200,15.444
73300,15.472
73400,15.471
73500,15.479
73600,15.527
73700,15.546
73800,15.645
73900,15.447
74000,15.318
74100,15.535
74200,15.485
74300,15.621
74400,15.735
74500,15.616
74600,15.664
74700,15.669
74800,15.674
74900,15.680
75000,15.641
75100,15.563
75200,15.576
75300,15.621
75400,15.569
75500,15.596
75600,15.645
75700,15.613
75800,15.669
75900,15.700
76000,15.589
76100,15.708
76200,15.643
76300,15.664
76400,15.599
76500,15.463
76600,15.513
76700,15.488
76800,15.463
76900,15.322
77000,15.374
77100,15.414
77200,15.497
77300,15.533
77400,15.443
77500,15.354
77600,15.396
77700,15.513
77800,15.558
77900,15.673
78000,15.674
78100,15.503
78200,15.532
78300,15.714
78400,15.729
78500,15.688
78600,15.588
78700,15.620
78800,15.713
78900,15.699
79000,15.687
79100,15.646
79200,15.563
79300,15.627
79400,15.693
79500,15.662
79600,15.643
79700,15.635
79800,15.680
79900,15.633
80000,15.682
80100,15.603
80200,15.613
80300,15.627
80400,15.663
80500,15.717
80600,15.696
80700,15.621
80800,15.597
80900,15.539
81000,15.617
81100,15.704
81200,15.597
81300,15.640
81400,15.652
81500,15.668
81600,15.594
81700,15.582
81800,15.620
81900,15.557
82000,15.539
82100,15.388
82200,15.542
82300,15.578
82400,15.625
82500,15.613
82600,15.625
82700,15.601
82800,15.628
82900,15.720
83000,15.646
83100,15.730
83200,15.778
